legacy_id,old_url,new_url,old_key,generated_url
6487,http://infoscience-legacy.epfl.ch/curator/export/6487/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/49/?ln=en,{'search_pattern': 'unit:TNE AND year:2012'},https://infoscience.epfl.ch/search?p=unit%3ATNE+AND+year%3A2012&so=d&rg=100
6365,http://infoscience-legacy.epfl.ch/curator/export/6365/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/50/?ln=en,{'search_pattern': 'unit: LCN'},https://infoscience.epfl.ch/search?p=unit%3A+LCN&so=d&rg=100
6488,http://infoscience-legacy.epfl.ch/curator/export/6488/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/51/?ln=en,{'search_pattern': 'unit:TNE AND year:2011'},https://infoscience.epfl.ch/search?p=unit%3ATNE+AND+year%3A2011&so=d&rg=100
6489,http://infoscience-legacy.epfl.ch/curator/export/6489/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/52/?ln=en,{'search_pattern': 'unit:TNE AND year:2010'},https://infoscience.epfl.ch/search?p=unit%3ATNE+AND+year%3A2010&so=d&rg=100
6490,http://infoscience-legacy.epfl.ch/curator/export/6490/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/53/?ln=en,{'search_pattern': 'unit:TNE AND year:2009'},https://infoscience.epfl.ch/search?p=unit%3ATNE+AND+year%3A2009&so=d&rg=100
10067,http://infoscience-legacy.epfl.ch/curator/export/10067/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/54/?ln=en,{'search_pattern': 'mohajeri'},https://infoscience.epfl.ch/search?p=mohajeri&so=d&rg=100
10067,http://infoscience-legacy.epfl.ch/curator/export/10067/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/54/?ln=fr,{'search_pattern': 'mohajeri'},https://infoscience.epfl.ch/search?p=mohajeri&so=d&rg=100
6726,http://infoscience-legacy.epfl.ch/curator/export/6726/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/55/?ln=en,{'search_pattern': '[CNBI-NISSAN]'},https://infoscience.epfl.ch/search?p=%22%5BCNBI-NISSAN%5D%22&so=d&rg=100
6805,http://infoscience-legacy.epfl.ch/curator/export/6805/?ln=en,https://idevelopsrv25.epfl.ch:443/publication-exports/56/?ln=en,{'search_pattern': '(goldmann AND 3D) OR (goldmann and stereo) OR (goldmann and stereoscopic) OR rerabek OR hanhart NOT proenca NOT vajda'},https://infoscience.epfl.ch/search?p=%28+goldmann+AND+3D+%29+OR+%28+goldmann+AND+stereo+%29+OR+%28+goldmann+AND+stereoscopic+%29+OR+rerabek+OR+hanhart+NOT+proenca+NOT+vajda&so=d&rg=100
6897,https://infoscience-legacy.epfl.ch/curator/export/6897/?rg=1000,https://idevelopsrv25.epfl.ch:443/publication-exports/57/?ln=en,{'search_pattern': 'affiliation:EPFL unit:LIS 500:*plantoid*'},https://infoscience.epfl.ch/search?p=affiliation%3AEPFL+unit%3ALIS+500%3A%2Aplantoid%2A&so=d
6917,http://infoscience-legacy.epfl.ch/curator/export/6917/?ln=fr,https://idevelopsrv25.epfl.ch:443/publication-exports/58/?ln=en,{'search_pattern': 'grandjean n 2011'},https://infoscience.epfl.ch/search?p=grandjean+n+2011&so=d&rg=100
6918,http://infoscience-legacy.epfl.ch/curator/export/6918/?ln=fr,https://idevelopsrv25.epfl.ch:443/publication-exports/59/?ln=en,{'search_pattern': 'grandjean n 2010'},https://infoscience.epfl.ch/search?p=grandjean+n+2010&so=d&rg=100
6919,http://infoscience-legacy.epfl.ch/curator/export/6919/?ln=fr,https://idevelopsrv25.epfl.ch:443/publication-exports/60/?ln=en,{'search_pattern': 'grandjean n 2009'},https://infoscience.epfl.ch/search?p=grandjean+n+2009&so=d&rg=100
6920,http://infoscience-legacy.epfl.ch/curator/export/6920/?ln=fr,https://idevelopsrv25.epfl.ch:443/publication-exports/61/?ln=en,{'search_pattern': 'grandjean n 2008'},https://infoscience.epfl.ch/search?p=grandjean+n+2008&so=d&rg=100
6921,http://infoscience-legacy.epfl.ch/curator/export/6921/?ln=fr,https://idevelopsrv25.epfl.ch:443/publication-exports/62/?ln=en,{'search_pattern': 'grandjean n 2007'},https://infoscience.epfl.ch/search?p=grandjean+n+2007&so=d&rg=100
