legacy id,legacy url,new generated url,url for counting,number of new elements since migration,used in
2411,http://infoscience.epfl.ch/curator/export/2411/,https://infoscience.epfl.ch/search?p=author%3Ahuelsken&c=Infoscience%2FResearch&so=d&rg=2982,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=2982&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Ahuelsken,0,PEOPLE
5495,http://infoscience.epfl.ch/curator/export/5495/,https://infoscience.epfl.ch/search?p=author%3Ahuelsken&c=Infoscience%2FResearch&so=d&rg=2982,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=2982&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Ahuelsken,0,PEOPLE
5495,http://infoscience.epfl.ch/curator/export/5495/,https://infoscience.epfl.ch/search?p=author%3Ahuelsken&c=Infoscience%2FResearch&so=d&rg=2982,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=2982&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Ahuelsken,0,PEOPLE
2752,http://infoscience.epfl.ch/curator/export/2752/,https://infoscience.epfl.ch/search?p=author%3Ahugonnier&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Ahugonnier,0,PEOPLE
5817,http://infoscience.epfl.ch/curator/export/5817/,https://infoscience.epfl.ch/search?p=author%3Ahugonnier&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Ahugonnier,0,PEOPLE
5817,http://infoscience.epfl.ch/curator/export/5817/,https://infoscience.epfl.ch/search?p=author%3Ahugonnier&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Ahugonnier,0,PEOPLE
4346,http://infoscience.epfl.ch/curator/export/4346/?ln=en,https://infoscience.epfl.ch/search?p=%28+huwald+%29+AND+%28+collection%3AARTICLE+%29&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=%28+huwald+%29+AND+%28+collection%3AARTICLE+%29,0,PEOPLE
5789,http://infoscience.epfl.ch/curator/export/5789/,https://infoscience.epfl.ch/search?p=huwald+AND+article&c=Infoscience%2FArticle&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FArticle&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=huwald+AND+article,0,PEOPLE
5789,http://infoscience.epfl.ch/curator/export/5789/,https://infoscience.epfl.ch/search?p=huwald+AND+article&c=Infoscience%2FArticle&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FArticle&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=huwald+AND+article,0,PEOPLE
12509,https://infoscience.epfl.ch/curator/export/12509/?ln=en,https://infoscience.epfl.ch/search?p=huzard&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=huzard,0,PEOPLE
