legacy id,legacy url,legacy raw search values,new generated url,url for counting,number of new elements since migration,used in
2698,http://infoscience.epfl.ch/curator/export/2698/,"{'search_pattern': 'author:leiman', 'search_collection': 'Infoscience/Research'}",https://infoscience.epfl.ch/search?p=author%3Aleiman&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Aleiman,0,PEOPLE
5442,http://infoscience.epfl.ch/curator/export/5442/,"{'search_pattern': 'laperrouza', 'search_collection': 'Infoscience/Research'}",https://infoscience.epfl.ch/search?p=laperrouza&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=laperrouza,1,PEOPLE
2606,http://infoscience.epfl.ch/curator/export/2606/,"{'search_pattern': 'laperrouza', 'search_collection': 'Infoscience/Research'}",https://infoscience.epfl.ch/search?p=laperrouza&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=laperrouza,1,PEOPLE
4416,http://infoscience.epfl.ch/curator/export/4416/?ln=en,"{'search_pattern': 'V. Rezzonico', 'search_field_restriction': 'author'}",https://infoscience.epfl.ch/search?p=V.+Rezzonico&f1=author&so=d&rg=100,https://infoscience.epfl.ch/search?f1=author&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=V.+Rezzonico,0,PEOPLE
4709,http://infoscience.epfl.ch/curator/export/4709/,"{'search_pattern': 'vittoria rezzonico', 'search_collection': 'Infoscience/Research'}",https://infoscience.epfl.ch/search?p=vittoria+rezzonico&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=vittoria+rezzonico,0,PEOPLE
5660,http://infoscience.epfl.ch/curator/export/5660/,"{'search_pattern': 'author:rinaldo AND year:2009->2050', 'search_collection': 'Infoscience/Research/ENAC/IIE/ECHO'}",https://infoscience.epfl.ch/search?p=author%3Arinaldo+AND+year%3A2009-%3E2050&c=Infoscience%2FResearch%2FENAC%2FIIE%2FECHO&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch%2FENAC%2FIIE%2FECHO&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Arinaldo+AND+year%3A2009-%3E2050,0,PEOPLE
5660,http://infoscience.epfl.ch/curator/export/5660/,"{'search_pattern': 'author:rinaldo AND year:2009->2050', 'search_collection': 'Infoscience/Research/ENAC/IIE/ECHO'}",https://infoscience.epfl.ch/search?p=author%3Arinaldo+AND+year%3A2009-%3E2050&c=Infoscience%2FResearch%2FENAC%2FIIE%2FECHO&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch%2FENAC%2FIIE%2FECHO&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Arinaldo+AND+year%3A2009-%3E2050,0,PEOPLE
2619,http://infoscience.epfl.ch/curator/export/2619/,"{'search_pattern': 'author:rinaldo AND year:2009->2050', 'search_collection': 'Infoscience/Research/ENAC/IIE/ECHO'}",https://infoscience.epfl.ch/search?p=author%3Arinaldo+AND+year%3A2009-%3E2050&c=Infoscience%2FResearch%2FENAC%2FIIE%2FECHO&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch%2FENAC%2FIIE%2FECHO&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Arinaldo+AND+year%3A2009-%3E2050,0,PEOPLE
2619,http://infoscience.epfl.ch/curator/export/2619/,"{'search_pattern': 'author:rinaldo AND year:2009->2050', 'search_collection': 'Infoscience/Research/ENAC/IIE/ECHO'}",https://infoscience.epfl.ch/search?p=author%3Arinaldo+AND+year%3A2009-%3E2050&c=Infoscience%2FResearch%2FENAC%2FIIE%2FECHO&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch%2FENAC%2FIIE%2FECHO&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Arinaldo+AND+year%3A2009-%3E2050,0,PEOPLE
4652,http://infoscience.epfl.ch/curator/export/4652/,"{'search_pattern': 'author:terrier collection:article', 'search_collection': 'Infoscience/Research/STI/CBT/LBO'}",https://infoscience.epfl.ch/search?p=author%3Aterrier+collection%3Aarticle&c=Infoscience%2FResearch%2FSTI%2FCBT%2FLBO&so=d&rg=2910,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch%2FSTI%2FCBT%2FLBO&so=d&rg=2910&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Aterrier+collection%3Aarticle,0,PEOPLE
